Ime,Priljubljenost,Cena,Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja
Crochet sunflower granny square,232,£1.47,Crochet sunflower granny square,Independent Designer,Anna Ushakova,English,1,13,Beginner
Grindstone Tote Bag,233,£0.00,Accessories,Independent Designer,Tara Briggs,English,1,,Intermediate
Bag Windmill,234,£5.00,Accessories,Independent Designer,Anna,English,1,8,Beginner
Colour Block Granny,235,£4.00,Blankets,Independent Designer,Eight-by-Six,English,,10,Beginner
Nova Top,236,£0.00,Tops,Independent Designer,Ella Bella,English,1,15,Intermediate
Winter Luxe Beanie,237,£3.60,Accessories,Independent Designer,BabyCrochetDesigns,English,1,12,Intermediate
Crossbody bag Jasmine stitch,238,£3.33,Accessories,Independent Designer,Vivmade,English,1,8,Advanced
Pig,239,£3.70,Toys,Independent Designer,OneFunnyMoose,English,1,14,Intermediate
The Moonlit Bralette,240,£0.00,Tops,Independent Designer,hanna christena,English,1,4,Beginner
"576 CROCHET WHITE SHRUG, Age 12 to Adult XL",241,£1.05,Boleros,Independent Designer,Emi Harrington,English,1,,Beginner
Essi Bag,242,£2.66,Accessories,Independent Designer,isWoolish,English,1,12,Beginner
"Cat Crochet Pattern, Crochet Cat Pattern Free,Free Crochet Patterns,Crochet Cute Patterns,Crochet For Beginners",243,£0.00,Homeware,Independent Designer,Kathy Leung,English,1,7,Beginner
Karoo Vintage Throw,244,£3.70,Homeware,Independent Designer,The Floral Hook,English,1,190,Intermediate
Arielle's Square Blanket Pattern,245,£4.44,Homeware,Independent Designer,Deborah O'Leary,English,1,12,Beginner
Sesame Street Bert & Ernie (set of 2),246,£4.44,Toys,Independent Designer,Amber Romano,English,1,29,Intermediate
Olivia Top in Rowan Summerlite 4ply - Downloadable PDF,247,£5.00,Tops,Rowan,Marie Wallin,English,1,6,Intermediate
Breezy Summer Crochet Crop Top,248,£3.20,Tops,Independent Designer,AnnaKnittingPretty,English,1,11,Beginner
The Iris Crop Top,249,£0.00,Tops,Independent Designer,Calm Homemade,English,1,15,Beginner
3in1 Highland Cow Folding Baby Blanket,250,£4.49,Homeware,Independent Designer,Crafting Happiness,English,1,15,Intermediate
Vicki Bag,251,£4.07,Accessories,Independent Designer,The Crochet Village,English,1,12,Intermediate
Granny Go Round Cardigan,252,£6.00,Cardigans,Independent Designer,Iron Lamb,English,1,16,Intermediate
Star Dreamcatcher,253,£0.00,Homeware,Independent Designer,Renata Saj,English,1,,Intermediate
Crochet tote bag: The Mellow tote bag,254,£2.96,Accessories,Independent Designer,Mirrymas,English,1,8,Beginner
Grandad’s waistcoat,255,£8.50,Waistcoats,Independent Designer,Realm Designs,English,1,,Intermediate
Baby Dress and Cardigan,256,£1.09,Dresses,Independent Designer,TatjanaBoutique,English,1,8,Beginner
Sweater and Hat with Cable Pattern in Schachenmayr Bravo Baby - S8653 - Downloadable PDF,257,£0.00,Hats,Schachenmayr,,"English, German",1,3,
Crochet Hexagon Flower Shirt Pattern,258,£6.04,Cardigans,Independent Designer,Beautiful Crochet Stuff,English,,,Advanced
Sweater & Top in King Cole Cottonsoft DK - 5944DF - Downloadable PDF,259,£2.99,Sweaters,King Cole,King Cole,English,2,4,Beginner
Little Rays Blanket,260,£3.75,Homeware,Independent Designer,Ivy and Mabel,English,1,8,Intermediate
Jessica Vintage Granny Cluster Cardigan,261,£2.90,Cardigans,Independent Designer,Catherine Waterfield,English,1,,Intermediate
Baby Seal,262,£0.00,Toys,Independent Designer,Jade Gauthier-Boutin,"English, French",1,10,Beginner
Amigurumi Flamingo in Lion Brand Feels Like Butta - M23047 FB - Downloadable PDF,263,£0.00,Toys,Lion Brand,Lion Brand,English,1,7,Beginner
Ayla Cardigan,264,£4.80,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,38,Intermediate
Any-Size Square Container,265,£0.00,Homeware,Independent Designer,Squibblybups,English,1,3,Beginner
Kaliedoscope Cardigan (Granny Square),266,£5.50,Cardigans,Independent Designer,The Missing Yarn - Cassie Ward,English,1,,Intermediate
Mushroom frog amigurumi,267,£0.00,Accessories,Independent Designer,Elena,English,1,,Beginner
Lovey Blanket Bear Security Blanket Teddy,268,£0.00,Toys,Independent Designer,TatieSoftToys,English,1,15,Intermediate
Hosta pillow,269,£6.04,Cushions,Independent Designer,Sidsel Sangild,English,1,14,Advanced
Beatrice the Bat,270,£2.22,Toys,Independent Designer,Jade Gauthier-Boutin,English,1,22,Beginner
Neacht,271,£2.59,Tops,Independent Designer,Caroline Murphy,English,1,3,Intermediate
Lilly Blanket,272,£4.00,Homeware,Independent Designer,Exquisite Crochet UK,English,1,4,Beginner
One Skein Summer Wrap in Caron One Pound - Downloadable PDF,273,£0.00,Shawls,Caron,Marty Miller,English,1,2,Beginner
Sand of the Sea Throw,274,£4.07,Homeware,Independent Designer,Lisa van Klaveren,English,1,,Intermediate
Bernard the Goose Crochet Pattern Amigurumi,275,£4.74,Toys,Independent Designer,Firefly Crochet,English,1,14,Intermediate
Jules Cardigan and Hat  P192,276,£5.50,Hats,Independent Designer,OGE Knitwear Designs,English,1,4,Intermediate
Toxic rat amigurumi doll,277,£2.59,Toys,Independent Designer,Olga Kudrjavceva,English,1,14,Intermediate
Daisy chain and wreath,278,£1.80,Homeware,Independent Designer,Luna Crochet Designs,English,1,5,Beginner
Leisure Arts Absolutely Gorgeous Doilies Crochet eBook,279,£7.40,Homeware,Independent Designer,Leisure Arts,English,1,66,Beginner
Rainbow Petals [#stashbustergranny ] Cardigan,280,£4.07,Cardigans,Independent Designer,by.Daisy.Dots,English,1,22,Beginner
Isle of Staffa Puffin,281,£1.50,Cushions,Independent Designer,Alyson Chu,English,1,,Advanced
Minion Bob and Bear Tim by AradiyaToys,282,£0.00,Toys,Independent Designer,AradiyaToys,"English, French, German, Portuguese, Russian, Spanish",1,29,Intermediate
The Green Man,283,£2.50,The Green Man,Independent Designer,Rymell,English,1,4,Intermediate
"""Night Breeze Shawl"" - Shawl Crochet Pattern For Women in Paintbox Yarns Cotton DK",284,£0.00,Shawls,Paintbox Yarns,,English,1,6,Beginner
Damask Rose,285,£3.70,Accessories,Independent Designer,Katya Novikova,English,1,,Intermediate
Shirley the Shrimp,286,£0.00,Shirley the Shrimp,Independent Designer,@kirby_crochets,English,1,3,Intermediate
Sandy Crochet Mesh Tank Top,287,£4.44,Tops,Independent Designer,crochetbykiridesigns,English,1,9,Intermediate
Coastal Fog Chunky Cardigan,288,£4.81,Sweaters,Independent Designer,Olivia Kent,English,1,,Intermediate
Hanging basket,289,£3.00,Homeware,Independent Designer,Anna,English,1,11,Beginner
"""Primrose"" Romper - NEW SIZES UP TO 24 MONTHS",290,£5.40,Booties,Independent Designer,Caroline Richards,English,1,10,Intermediate
Motif Granny Square Tote,291,£2.96,Accessories,Independent Designer,Jennifer Renaud,English,1,,Intermediate
Double Diamond Blanket in Bernat Softee Baby Solids,292,£0.00,Accessories,Bernat,,English,2,,
Mirage Cardigan Child,293,£2.96,Cardigans,Independent Designer,Joy of Creation Crochet,English,1,,Intermediate
Home Sweet Home Potholder,294,£3.10,Homeware,Independent Designer,RaffamusaDesigns,English,1,,Beginner
Peggy Cardigan in Wool and the Gang Shiny Happy Cotton - Downoadable PDF,295,£0.00,Cardigans,Wool and the Gang,Wool and the Gang,"English, French, German",1,32,Advanced
Happy Hour Top,296,£3.70,Tops,Independent Designer,KnitcroAddict,English,1,9,Beginner
Crochet Hook Holder,297,£2.59,Accessories,Independent Designer,Nicole Riley,English,1,,Beginner
Cabin in The Woods Afghan in Caron Simply Soft and Simply Soft Heathers - Downloadable PDF,298,£0.00,Blankets,Caron,,English,1,2,Beginner
Crochet bag pattern: The Portable handbag,299,£1.11,Accessories,Independent Designer,Mirrymas,English,1,9,Intermediate
Aurora Hexagon Cardigan,300,£4.80,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,17,Intermediate
Festive Friends Ebook - Free Toy Crochet Patterns for Christmas by Paintbox Yarns,301,£0.00,Festive Friends Ebook - Free Toy Crochet Patterns for Christmas by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,4,22,Advanced Beginner
The Moonflower Cushion Block,302,£2.59,Cushions,Independent Designer,The Floral Hook,English,1,26,Intermediate
Classy Small Bag,303,£1.48,Accessories,Independent Designer,madebylisek,English,1,,Beginner
CROCHET PATTERN: Micro chunky satin bag (PDF),304,£1.48,CROCHET PATTERN: Micro chunky satin bag (PDF),Independent Designer,av.marte,English,1,2,Beginner
Granny Square Crochet Blanket,305,£4.50,Homeware,Independent Designer,Joanne Johncey,English,1,2,Beginner
Dream Catcher Sandals with Flip Flop Soles,306,£5.55,Dream Catcher Sandals with Flip Flop Soles,Independent Designer,Jess Coppom Make & Do Crew,English,1,17,Intermediate
Frosted Isles Jumper,307,£6.60,Sweaters,Independent Designer,BabyCrochetDesigns,English,1,43,Intermediate
Bucket Hat With Flowers in Lion Brand 24/7 Cotton - Downloadable PDF,308,£0.00,Hats,Lion Brand,,English,1,5,Beginner
"Lily of the Valley Coaster,Crochet Coaster,Free Crochet Coasters Pattern,Crochet Pattern Coasters",309,£0.00,Homeware,Independent Designer,Kathy Leung,English,1,5,Beginner
Tunisian Crochet Santa Fe Shawl,310,£0.73,Accessories,Independent Designer,Kate In Oregon Designs,English,1,,Beginner
Crochet duck,311,£0.00,Toys,Independent Designer,FollowThe Yarn,English,1,4,Beginner
Crochet PATTERN Baby Dress Infant Dress,312,£4.58,Dresses,Independent Designer,Elena Mitchell,English,1,61,Beginner
Simnia Layette,313,£0.00,Blankets,Independent Designer,Janet Harvey,English,1,8,Intermediate
Alligator,314,£0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Chunky Baby Blanket,315,£3.70,Homeware,Independent Designer,Deborah O'Leary,English,1,5,Beginner
Little Coco Top,316,£4.00,Tops,Independent Designer,Carole Rayner,English,1,9,Intermediate
Crochet Cotton Wash Cloth,317,£1.75,Homeware,Independent Designer,betsymakes,English,1,3,Intermediate
Crochet Daffodil,318,£0.00,Crochet Daffodil,Independent Designer,Roseanna Murray,English,1,,Intermediate
Matilde Granny Bucket Hat,319,£5.18,Accessories,Independent Designer,cuteandcozy,English,1,44,Beginner
Chilly Cardigan,320,£5.99,Cardigans,Independent Designer,Bea Torfs,"Dutch, English",1,8,Intermediate
Unfailing V,321,£4.44,Tops,Independent Designer,Kay Krochets,English,1,14,Intermediate
Manatee Friend,322,£0.00,Toys,Independent Designer,Manatee_Squares,English,1,3,Beginner
Throws in Sirdar Cotton 4 Ply - 7821- Downloadable PDF,323,£3.85,Blankets,Sirdar,,English,3,4,Intermediate
Morning Light,324,£2.96,Accessories,Independent Designer,CJ Brady Designs,English,1,,Beginner
Gary the Snail,325,£0.00,Toys,Independent Designer,Kozytoys,English,1,8,Beginner
Toddler Dress with Slip,326,£5.00,Dresses,Independent Designer,Margaret Whisnant,English,1,29,Intermediate
Pua Poa Beach Swimsuit Coverup,327,£4.81,Pua Poa Beach Swimsuit Coverup,Independent Designer,Lindsey Roe,English,1,,Beginner
V-square,328,£0.00,V-square,Independent Designer,Kate Veselunka,English,1,6,Intermediate
Quick and Easy Crochet Baby Hat | All size crochet baby beanie,329,£1.85,Accessories,Independent Designer,Asani Crochets,English,1,3,Beginner
Mystic Lace Top,330,£4.31,Tops,Independent Designer,madebyJORI,"Dutch, English",1,14,Intermediate
The Catman – Rock Doll Crochet Pattern + Drum Set (Fanart Inspired),331,£10.37,Toys,Independent Designer,Danielle Magalhães,English,1,27,Advanced
Raffia Bucket hat,332,£3.33,Accessories,Independent Designer,I Love Create,English,1,,Beginner
"Newborn Snowman Hat, Scarf, and Cocoon",333,£3.33,Accessories,Independent Designer,AMK Crochet,English,1,6,Intermediate
Simple Textured Blanket in Caron United - Downloadable PDF,334,£0.00,Blankets,Caron,,English,1,1,Beginner
Calendula Baby Pixie Hat,335,£2.59,Hats,Independent Designer,Agasalhos e Bugalhos,English,1,,Beginner
Sasha Cardigan,336,£1.73,Cardigans,Independent Designer,isWoolish,English,1,,Beginner
Grace T-shirt,337,£3.88,Tops,Independent Designer,PDFCrochetPattern4u,"English, Spanish",1,86,Intermediate
Crochet Dishcloths - Free Crochet Pattern for Home in Paintbox Yarns Recycled Cotton Worsted by Paintbox Yarns,338,£0.00,Homeware,Paintbox Yarns,,English,3,4,Beginner
Unisex Baby Sweater,339,£0.99,Sweaters,Independent Designer,TatjanaBoutique,English,1,4,Intermediate
Seaside Sweater - Free Jumper Crochet Pattern for Women in Paintbox Yarns Cotton Mix DK by Paintbox Yarns,340,£0.00,Sweaters,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Tina Belcher Amigurumi Crochet Pattern,341,£3.70,Toys,Independent Designer,erinmaycrochet,English,1,19,Advanced
"Steve from ""Minecraft"" by AradiyaToys",342,£2.95,Toys,Independent Designer,AradiyaToys,"English, German",1,22,Intermediate
The Mezzo Cardigan,343,£5.55,Cardigans,Independent Designer,Jess Coppom Make & Do Crew,English,1,33,Intermediate
Crochet Ripple Baby Blanket in Caron Simply Soft & Simply Soft Ombre - Downloadable PDF,344,£0.00,Blankets,Caron,Marilyn Losee,English,1,4,Beginner
ENCHANTED FOREST Mandalas USA,345,£3.00,Homeware,Independent Designer,Barbara Summers,English,1,7,Intermediate
Crochet gorgeous halter festival tank top.,346,£5.85,Tops,Independent Designer,ThePoshCrochet,English,1,35,Intermediate
Sunshine Sweater - Free Jumper Crochet Pattern For Women in Paintbox Yarns Cotton 4 Ply by Paintbox Yarns,347,£0.00,Sweaters,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Brynn Coat Set in DK,348,£4.00,Coats,Independent Designer,Ready For Cwtches Designs,English,1,5,Intermediate
Crochet Granny Stitch Top,349,£4.44,Tops,Independent Designer,Jennifer Renaud,English,1,,Beginner
Unicorn,350,£0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Baby shark crochet pattern,351,£2.67,Toys,Independent Designer,AmigurumiJoys,English,1,4,Beginner
Lacy Duster in Caron Simply Soft - Downloadable PDF,352,£0.00,Coats,Caron,Doris Chan,English,1,5,Intermediate
Very Shelley Bookmark,353,£0.00,Very Shelley Bookmark,Independent Designer,Labours of Love Crochet,English,1,,Beginner
Classic Mini Rainbow Stripe Hat,354,£4.07,Hats,Independent Designer,Cassandra  May,English,1,2,Beginner
Square in a Square Throw in Stylecraft Life DK - 9232 - Downloadable PDF,355,£3.00,Blankets,Stylecraft,,English,1,4,Advanced Beginner
Slouchy Beanie in Caron Simply Soft - Downloadable PDF,356,£0.00,Hats,Caron,,English,1,1,Beginner
Knitting PATTERN Baby Girl Outfit Baby Sweater and Hat,357,£6.40,Jackets,Independent Designer,Elena Mitchell,English,1,72,Intermediate
Boho Crochet Lace Oversized Sweater,358,£6.59,Sweaters,Independent Designer,ThePoshCrochet,English,1,31,Intermediate
Zookeeper's Blanket,359,£5.18,Homeware,Independent Designer,Justine Walley,English,1,59,Intermediate
Cocomelon Red Teddy Bear crochet doll amigurumi pattern,360,£4.89,Toys,Independent Designer,Lenn's Craft,English,1,13,Beginner
Snowman Cute Christmas toy,361,£5.18,Toys,Independent Designer,Vitastoys,English,1,43,Intermediate
Charmander by AradiyaToys,362,£0.00,Toys,Independent Designer,AradiyaToys,"English, French, German, Russian, Spanish",1,26,Intermediate
Oversized Polo T-Shirt Crochet Pattern | Digital Download | Sizes XS–5XL,363,£6.47,Tops,Independent Designer,ByKaterina,English,1,9,Intermediate
Bee my baby wall hanging,364,£4.00,Homeware,Independent Designer,Becca - To Be Adorned,English,1,5,Beginner
Green Crochet Top in Schachenmayr Catania - S9016 - Downloadable PDF,365,£0.00,Tops,Schachenmayr,,"Dutch, English, French, German",1,2,
Brie Jumper,366,£6.75,Sweaters,Independent Designer,Holly Woodward Designs,English,1,12,Beginner
Ioana Cardigan,367,£6.75,Cardigans,Independent Designer,Holly Woodward Designs,English,1,12,Beginner
Hosta bag,368,£6.04,Accessories,Independent Designer,Sidsel Sangild,English,1,,Intermediate
Essential Beach Bag - Free Crochet Pattern in Paintbox Yarns Recycled Ribbon and Metallic Ribbon - Downloadable PDF,369,£0.00,Essential Beach Bag - Free Crochet Pattern in Paintbox Yarns Recycled Ribbon and Metallic Ribbon - Downloadable PDF,Paintbox Yarns,Paintbox Yarns,English,1,4,Beginner
Seaside Slip-Ons - Shoes with Flip Flop Soles,370,£5.55,Seaside Slip-Ons - Shoes with Flip Flop Soles,Independent Designer,Jess Coppom Make & Do Crew,English,1,14,Intermediate
Cabled Pocket Scarf,371,£4.44,Accessories,Independent Designer,Infamous Stitch,English,1,7,Intermediate
Bobble Dress,372,£4.14,Dresses,Independent Designer,Mon Petit Violon,English,1,6,Intermediate
Hooky Project Bag,373,£3.00,Accessories,Independent Designer,Sew Hooky,English,1,3,Intermediate
LoisLeigh's Story Time Raggedy Ann Bookmark,374,£5.05,Homeware,Independent Designer,LoisLeigh,English,1,18,Intermediate
Mini Rainbow Bee,375,£0.00,Toys,Independent Designer,Jade Gauthier-Boutin,"English, French",1,8,Beginner
Primrose Bag,376,£5.00,Accessories,Independent Designer,Loopy Handmade,English,1,17,Intermediate
Zoey the Zebra,377,£4.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Bermuda Tote in Lion Brand Color Theory - M22071 - Downloadable PDF,378,£0.00,Accessories,Lion Brand,Two of Wands,English,1,7,Beginner
Amigurumi recycle airplanes,379,£3.70,Amigurumi,Independent Designer,Reham Youssef,English,1,11,Intermediate
Bella Crochet Bag Pattern,380,£3.33,Accessories,Independent Designer,Deborah O'Leary,English,1,5,Beginner
Everyday Bib and Booties Set in Lily Sugar 'n Cream Solids,381,£0.00,Accessories,Lily Sugar 'n Cream,,English,2,,
Wrap Me Up Cardigan - Free Cardigan Crochet Pattern For Women in Paintbox Yarns Cotton 4 Ply by Paintbox Yarns,382,£0.00,Cardigans,Paintbox Yarns,Paintbox Yarns,English,1,6,Intermediate
Crochet Sailor Scarf,383,£2.75,Crochet Sailor Scarf,Independent Designer,CamexiaDesigns,English,1,,Beginner
Squirtle by AradiyaToys,384,£0.00,Toys,Independent Designer,AradiyaToys,"English, French, German, Russian, Spanish",1,30,Intermediate
